City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
113,Vestmannaeyjar,IS,11/4/2019 8:03,63.44,-20.27,39.2,60,75,18.34,broken clouds,0,0
114,Upernavik,GL,11/4/2019 8:03,72.79,-56.15,21.63,64,100,8.46,overcast clouds,0,0
115,San Patricio,PY,11/4/2019 8:03,-26.98,-56.83,69.76,98,14,3.85,light rain,1,0
116,Bandarbeyla,SO,11/4/2019 8:03,9.49,50.81,82.04,78,100,10.76,light rain,2.88,0
117,Nikolskoye,RU,11/4/2019 8:03,59.7,30.79,35.6,93,90,8.95,shower sleet,0,0
118,Mahina,ML,11/4/2019 8:03,13.76,-10.85,85.64,22,66,5.08,broken clouds,0,0
119,Luderitz,NA,11/4/2019 8:03,-26.65,15.16,75.2,36,0,3.36,clear sky,0,0
120,Ariquemes,BR,11/4/2019 8:03,-9.91,-63.03,68.77,85,97,1.45,overcast clouds,0,0
121,Vao,EE,11/4/2019 8:03,59.1,26.19,38.3,91,100,11.52,light rain,0.56,0
122,Hermanus,ZA,11/4/2019 8:03,-34.42,19.24,73.99,62,33,11.99,scattered clouds,0,0
123,Tasiilaq,GL,11/4/2019 8:03,65.61,-37.64,28.4,92,98,2.24,light snow,0,0.13
124,Vysokogornyy,RU,11/4/2019 8:03,50.1,139.13,17.91,95,94,3.62,overcast clouds,0,0
125,Boca Do Acre,BR,11/4/2019 8:03,-8.76,-67.39,70.43,96,100,1.25,overcast clouds,0,0
126,Jalpa,MX,11/4/2019 8:03,21.63,-102.98,59.59,77,0,2.62,clear sky,0,0
127,Turukhansk,RU,11/4/2019 8:03,65.8,87.96,4.53,93,100,6.33,light snow,0,0.19
128,The Valley,AI,11/4/2019 8:01,18.22,-63.06,80.6,83,20,5.82,thunderstorm,0,0
129,Srednekolymsk,RU,11/4/2019 8:03,67.46,153.71,0.7,90,94,3.24,overcast clouds,0,0
130,Port Hardy,CA,11/4/2019 8:03,50.7,-127.42,53.6,87,40,5.82,scattered clouds,0,0
131,Voh,NC,11/4/2019 8:03,-20.95,164.69,72.39,73,21,12.62,few clouds,0,0
132,Bethel,US,11/4/2019 8:03,60.79,-161.76,17.6,72,1,17.22,clear sky,0,0
133,Henties Bay,NA,11/4/2019 8:03,-22.12,14.28,96.33,6,0,10.58,clear sky,0,0
134,Chara,GR,11/4/2019 8:03,39.42,22.43,71.6,68,40,8.05,scattered clouds,0,0
135,Kungurtug,RU,11/4/2019 8:03,50.6,97.53,28.36,43,100,1.88,overcast clouds,0,0
136,Yulara,AU,11/4/2019 8:03,-25.24,130.99,86,7,0,10.29,clear sky,0,0
137,Xiaoyi,CN,11/4/2019 8:03,37.15,111.77,55.22,43,0,3.38,clear sky,0,0
138,Fairbanks,US,11/4/2019 8:01,64.84,-147.72,12.99,92,1,4.7,clear sky,0,0
139,Grindavik,IS,11/4/2019 8:03,63.84,-22.43,37.4,100,90,16.11,light intensity drizzle,0,0
140,Berlevag,NO,11/4/2019 8:03,70.86,29.09,33.8,92,90,43.62,overcast clouds,0,0
141,Vanavara,RU,11/4/2019 8:03,60.35,102.28,7.86,92,100,5.39,overcast clouds,0,0
142,Coahuayana,MX,11/4/2019 8:03,18.62,-100.35,68.54,86,0,2.48,clear sky,0,0
143,Kaitangata,NZ,11/4/2019 8:03,-46.28,169.85,54,90,45,5.01,scattered clouds,0,0
144,Sobolevo,RU,11/4/2019 8:03,54.43,31.9,51.8,88,100,16.13,overcast clouds,0,0
145,Clyde River,CA,11/4/2019 8:03,70.47,-68.59,12.2,72,40,5.82,scattered clouds,0,0
146,Mandalgovi,MN,11/4/2019 8:03,45.76,106.27,33.39,40,25,9.37,scattered clouds,0,0
147,Charters Towers,AU,11/4/2019 8:03,-20.07,146.27,78.24,57,100,10.11,overcast clouds,0,0
148,Pochutla,MX,11/4/2019 8:03,15.74,-96.47,75,89,0,5.99,clear sky,0,0
149,Gazli,UZ,11/4/2019 8:03,40.13,63.45,46.6,31,0,12.68,clear sky,0,0
150,Mayo,CA,11/4/2019 8:03,63.59,-135.9,21.2,92,90,2.24,overcast clouds,0,0
151,Qaqortoq,GL,11/4/2019 8:03,60.72,-46.03,24.8,53,20,5.82,few clouds,0,0
152,Longyearbyen,NO,11/4/2019 8:03,78.22,15.63,12.2,66,20,14.99,few clouds,0,0
153,Burns Lake,CA,11/4/2019 8:00,54.23,-125.76,38.26,97,100,2.53,overcast clouds,0,0
154,Hamilton,CA,11/4/2019 7:59,43.26,-79.87,41,83,90,5.82,light rain,0,0
155,Souillac,FR,11/4/2019 8:03,45.6,-0.6,55.4,93,67,14.99,light rain,0,0
156,Timmins,CA,11/4/2019 8:03,48.48,-81.33,26.6,100,75,4.7,broken clouds,0,0
157,Port Moresby,PG,11/4/2019 8:03,-9.47,147.16,84.2,74,20,25.59,few clouds,0,0
158,San Andres,PH,11/4/2019 8:03,13.32,122.68,80.8,81,0,8.88,clear sky,0,0
159,Havelock,US,11/4/2019 8:03,34.88,-76.9,51.01,87,1,4.41,clear sky,0,0
160,Teruel,ES,11/4/2019 8:03,40.34,-1.11,57.2,62,75,9.17,broken clouds,0,0
161,Severo-Kurilsk,RU,11/4/2019 8:03,50.68,156.12,32.43,92,26,7.85,scattered clouds,0,0
162,Alofi,NU,11/4/2019 8:03,-19.06,-169.92,68,77,100,4.7,overcast clouds,0,0
163,Emmett,US,11/4/2019 8:03,43.87,-116.5,39,74,29,3.91,scattered clouds,0,0
164,Yar-Sale,RU,11/4/2019 8:03,66.83,70.83,4.48,94,1,13.18,clear sky,0,0
165,San Pedro,AR,11/4/2019 8:03,-33.68,-59.66,64.99,85,80,2.57,broken clouds,0,0
166,Roma,IT,11/4/2019 8:01,41.89,12.48,66.99,77,40,5.82,scattered clouds,0,0
167,Candolim,IN,11/4/2019 8:03,15.52,73.76,87.8,66,20,12.75,few clouds,0,0
